x1,y1,x2,y2,Dist
50,1171,959,1170,909.0005500548391
56,950,346,954,290.02758489495443
69,555,218,557,149.01342221424215
70,386,705,382,635.0125983002227
83,51,879,54,796.0056532462568
351,561,920,565,569.0140595802533
663,1087,791,1088,128.00390619039717
824,4,959,2,135.0148140020198
847,0,867,575,575.3477209479498
957,0,958,58,58.008620049092706
85,49,73,273,224.32119828495925
595,148,595,384,236.0
72,388,62,746,358.13963757171587
918,562,776,1279,730.9261248580461
58,913,53,1175,262.0477055804916
675,563,667,1090,527.0607175648742
821,1160,776,1279,127.22421153223941
