x1,y1,x2,y2,Dist
0,10,188,1,188.2153022471871
47,1186,1139,1183,1092.0041208713453
55,900,498,891,443.0914126904289
82,81,847,125,766.2643147113142
164,481,512,482,348.0014367786432
165,285,347,291,182.0988742414406
593,600,877,602,284.0070421662111
599,784,1129,791,530.0462243993443
819,2,1242,51,425.8286040180955
872,356,1012,358,140.0142849854971
875,1028,1046,1024,171.04677722775136
959,263,1074,268,115.10864433221339
960,134,1143,140,183.09833423600554
1137,0,1143,91,91.19758768739445
345,94,344,294,200.0024999843752
843,126,846,251,125.03599481749245
963,128,964,269,141.00354605470034
83,76,48,1189,1113.550178483215
1138,136,1136,1185,1049.0019065759604
871,352,869,603,251.00796800101784
508,479,493,894,415.27099585692235
871,786,874,1029,243.01851781294363
